h1,h2,h3,h4,h5,h6,url
Psychiatry Graduates,You may also like …,"Lucas Coppes, MD, MS,Martin Greenwald, MD,Shivani Kumar, MD,Jessica Stier, MD,D. Ashkawn Ehsan, MD,Michel Medina, MD,Lauren Robinson, MD, MPH,Kristina Thurin, MD,Louisa Olushoga, MD,Cheriece Ward, MD,Bianca Pullen, MD,Derrick Farmer, MD,Larry Gaines, MD,Jorel Martinez, MD,Yusuf Salah, MD,Amanda Wachtel, MD,Kathryn Weaver, MD,Kavita Jayaswal, MD,Keely Elgethun, MD,Paige Marnell, MD,Joan Roig Llesuy, MD,Carolyn Shima, MD,Julie Land, MD,Vijay Gorrepati, MD,Jonathan Kolakowski, MD,Mark Neahring, MD,Nick Reid, MD,Phillipe Gerard Tapon, MD,Yana Yanovskaya, MD,Richard Clarey, M.D.,Michael Garland, M.D.,Anna Piotrowski, M.D.,Catherine Rockwood, M.D.,Amy Yang, M.D.,Elizabeth Erickson, D.O.,Andrea Mann, D.O.,Austin Osborn, M.D.,Nirali Patel, M.D,Maxwell Rovner, M.D., J.D.,Danijela Stojanac, M.D.,Joao Busnello, MD, PhD,Deborah Guris, MD, PhD,Jonathan Kirscher, M.D.,Veronica Makhija, MD,Albert Nguyen, DO, MPH,Luciana Ribeiro, MD,Sara Coffey, D.O.,Rakesh John, MD,Shoiab Memon, MD,Andrei Pankov, MD,Elena Tuskenis, MD,Xiaohong Yu, MD,Dawit Amare, DO, MPH,Sanjiwan Boparai, MD,Thomas Cantey, MD,Madhukar Kumar, MD,Abdullah Sallaj, MD,Marie Truong, DO,Joseph Cooper, MD,Robert Marseille, MD,Sibyl Simon, MD,Marcela Almeida, MD,Susan Buratto, MD,Berdine Chong, MD,Nicholas Patniyot, MD,Theodote Pontikes, MD",No data,No data,No data,https://psychiatry.uchicago.edu/people/psychiatry-graduates
404: Page not found,404,404,404,404,404,https://fvinstitute.com/bio/dr-vijay-gorrepati/
404 / Page not found,No data,No data,No data,No data,No data,https://fvinstitute.com/bio/dr-vijay-gorrepati/
No data,"Please see my new website at,https://sites.google.com/view/mdeshpande,.",",Untitled,",No data,No data,No data,https://sites.google.com/site/mdeshpandeecon/
Psychiatry Graduates,You may also like …,"Lucas Coppes, MD, MS,Martin Greenwald, MD,Shivani Kumar, MD,Jessica Stier, MD,D. Ashkawn Ehsan, MD,Michel Medina, MD,Lauren Robinson, MD, MPH,Kristina Thurin, MD,Louisa Olushoga, MD,Cheriece Ward, MD,Bianca Pullen, MD,Derrick Farmer, MD,Larry Gaines, MD,Jorel Martinez, MD,Yusuf Salah, MD,Amanda Wachtel, MD,Kathryn Weaver, MD,Kavita Jayaswal, MD,Keely Elgethun, MD,Paige Marnell, MD,Joan Roig Llesuy, MD,Carolyn Shima, MD,Julie Land, MD,Vijay Gorrepati, MD,Jonathan Kolakowski, MD,Mark Neahring, MD,Nick Reid, MD,Phillipe Gerard Tapon, MD,Yana Yanovskaya, MD,Richard Clarey, M.D.,Michael Garland, M.D.,Anna Piotrowski, M.D.,Catherine Rockwood, M.D.,Amy Yang, M.D.,Elizabeth Erickson, D.O.,Andrea Mann, D.O.,Austin Osborn, M.D.,Nirali Patel, M.D,Maxwell Rovner, M.D., J.D.,Danijela Stojanac, M.D.,Joao Busnello, MD, PhD,Deborah Guris, MD, PhD,Jonathan Kirscher, M.D.,Veronica Makhija, MD,Albert Nguyen, DO, MPH,Luciana Ribeiro, MD,Sara Coffey, D.O.,Rakesh John, MD,Shoiab Memon, MD,Andrei Pankov, MD,Elena Tuskenis, MD,Xiaohong Yu, MD,Dawit Amare, DO, MPH,Sanjiwan Boparai, MD,Thomas Cantey, MD,Madhukar Kumar, MD,Abdullah Sallaj, MD,Marie Truong, DO,Joseph Cooper, MD,Robert Marseille, MD,Sibyl Simon, MD,Marcela Almeida, MD,Susan Buratto, MD,Berdine Chong, MD,Nicholas Patniyot, MD,Theodote Pontikes, MD",No data,No data,No data,https://psychiatry.uchicago.edu/people/psychiatry-graduates
No data,No data,No data,No data,No data,No data,http://people.cs.uchicago.edu/~nshinrichs/
404: Page not found,404,404,404,404,404,https://www.doximity.com/pub/shivani-kumar-md
404,No data,No data,No data,No data,No data,https://www.doximity.com/pub/shivani-kumar-md
Psychiatry Residents,You may also like …,"Zachary Bean, MD,Marcel Bertsch-Gout, MD,John Lacci, MD,Alana Peters, MD,Robert Ratajczak, MD,Marissa Robertson, MD,Stephanie Eng, MD,Karin Lavie, MD,Michael Levin, MD,Laura Rosas, MD,Nicole Shaw, MD,Ana Wagener-Sobrero, MD,Amber Bard, MD,Austin Blum, MD,Han Deng, MD,Gabrielle Forestier, MD,Katie Washington Cole, MD, PhD,Jordan Weil, MD,Karla Garcia-DiGioia, MD,Eunjin Jang, MD,Diandra Lucia, MD,Lala Park, MD,Samuel Russell, MD",No data,No data,No data,https://psychiatry.uchicago.edu/people/psychiatry-residents
404: Page not found,404,404,404,404,404,https://www.chicagobooth.edu/faculty/directory/p/radhika-puri
"Sorry, the page you requested was not found","WE’RE SORRY, BUT THE PAGE YOU ARE LOOKING FOR CANNOT BE FOUND.,IT MAY HAVE BEEN MOVED, DELETED OR MISTYPED.,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/p/radhika-puri
Ravi Chugh,No data,"News,Currently Teaching,Research,Students,Professional Activities","active projects,older projects","former postdoctoral advisees,former undergraduate thesis advisees,CV,Research Statement,Teaching Statement",No data,http://people.cs.uchicago.edu/~rchugh/
Welcome to the Vaikuntanathan group webpage,Recent News,No data,No data,No data,No data,http://vaikuntanathan-group.uchicago.edu/index.html
Drupal,Select an installation profile,No data,No data,No data,No data,https://cmts.uchicago.edu/install.php
Ravi Chugh,About Ravi Chugh,No data,"Favourites,Photos,Others named Ravi Chugh,Others with a similar name",No data,No data,https://www.facebook.com/ravi.chugh/about?section=education&pnref=about
"Kenneth C. Griffin Department of Economics,Manasi Deshpande","Assistant Professor in Economics and the College (at Chicago since 2016).,Share this page,Related Links",No data,"Recent Research,Related Links,Contact,Related Links",No data,No data,https://economics.uchicago.edu//directory/manasi-deshpande
"Kenneth C. Griffin Department of Economics,Directory",Share this page,No data,No data,No data,No data,https://economics.uchicago.edu//directories/table/all
404: Page not found,404,404,404,404,404,https://newfaculty.uchicago.edu/page/sonali-thakkar
"New Faculty 2020,No Results Found",No data,No data,"Search News,Archives,Categories",No data,No data,https://newfaculty.uchicago.edu/page/sonali-thakkar
404: Page not found,404,404,404,404,404,https://complit.uchicago.edu/content/sonali-thakkar
Page not found,"Secondary Menu,Main navigation,Secondary Menu",No data,No data,No data,No data,https://complit.uchicago.edu/content/sonali-thakkar
"Renuka Malik, MD","Associate Professor of Radiation and Cellular Oncology,","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,Areas of Expertise,,Education,,Medical Education,Internship,Residency,,Memberships & Medical Societies,,Memberships & Medical Societies,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/renuka-malik
"Anubav Vasudevan,","Main navigation,Selected Publications,Media,Recent Courses,PHIL 22962/32962,The Epistemology of Deep Learning,,PHIL 49702,Revision Workshop,,PHIL 29400/39600,Intermediate Logic,,PHIL 49701,Topical Workshop,,PHIL 49701,Topical Workshop,,PHIL 22401/32401,Modern Logic and the Structure of Knowledge,,PHIL 29400/39600,Intermediate Logic,,PHIL 20116/30116,American Pragmatism,,PHIL 50218,The Problem of Induction,,PHIL 29400/39600,Intermediate Logic,,PHIL 20116/30116,American Pragmatism,,PHIL 50116,Pragmatism,,PHIL 29400/39600,Intermediate Logic,,PHIL 22960/32960,Bayesian Epistemology,",No data,No data,No data,No data,https://philosophy.uchicago.edu/faculty/vasudevan
"Priti Jani, MD","Assistant Professor of Pediatrics,","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,,Education,,Medical Education,Residency,Fellowship,Other Grad Education,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/priti-jani
No data,No data,No data,No data,No data,No data,https://ttic.uchicago.edu/~madhurt/
404: Page not found,404,404,404,404,404,https://philosophy.uchicago.edu/faculty/files/vasudevan/cv-06-07-2013.pdf
Page not found,Main navigation,No data,No data,No data,No data,https://philosophy.uchicago.edu/faculty/files/vasudevan/cv-06-07-2013.pdf
404: Page not found,404,404,404,404,404,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fsatyanarayan-hegde&user=extranet%5cAnonymous&site=website
Our Apologies,"The page you requested could not be found.,Patient Care,Patient & Visitor Information,Explore UChicago Medicine,Health & Science Articles","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",No data,No data,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fsatyanarayan-hegde&user=extranet%5cAnonymous&site=website
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=14838
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=14838
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=8402
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=8402
"Navneet Cheema, MD","Assistant Professor of Medicine,","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,,Education,,Medical Education,Residency,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/navneet-cheema
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=14580
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=14580
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=14898
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=14898
"Kirti Kulkarni, MBBS",",People,,Information For Patients",No data,No data,No data,No data,https://radiology.uchicago.edu/faculty/kirti-kulkarni-mbbs
"Rakesh Navuluri, MD FSIR",",People,,Information For Patients",No data,No data,No data,No data,https://radiology.uchicago.edu/faculty/rakesh-navuluri-md
"Pritesh Patel, MD",",People,,Information For Patients",No data,No data,No data,No data,https://radiology.uchicago.edu/faculty/pritesh-patel-md
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=12707
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=12707
"Sachin D. Shah, MD","Associate Professor of Medicine and Pediatrics,Associate Chief Medical Information Officer,,We now offer video visits, so you can see a doctor from your mobile device or computer.","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,Areas of Expertise,,Education,,Medical Education,Internship,Residency,,Memberships & Medical Societies,,Memberships & Medical Societies,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/sachin-d-shah
"Gaurav A. Upadhyay, MD","Associate Professor of Medicine,Director, Heart Station,,We now offer video visits, so you can see a doctor from your mobile device or computer.","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,Areas of Expertise,,Education,,Medical Education,Residency,Fellowship,,Memberships & Medical Societies,,Memberships & Medical Societies,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/gaurav-a-upadhyay
"Deepa Sheth, MD",",People,,Information For Patients",No data,No data,No data,No data,https://radiology.uchicago.edu/faculty/deepa-sheth-md
No data,"Research interests,Some recent publications,(List + summaries here)",No data,No data,No data,No data,http://muruganlab.uchicago.edu/
404: Page not found,404,404,404,404,404,https://psychiatry.uchicago.edu/directory/shona-n-vas-phd
Oops!,No data,No data,No data,No data,No data,https://psychiatry.uchicago.edu/directory/shona-n-vas-phd
"Radhika Peddinti, MD","Associate Professor of Pediatrics,Clinical Director, Sickle Cell Disease Program,","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,Areas of Expertise,,Education,,Medical Education,Residency,Fellowship,,Memberships & Medical Societies,,Memberships & Medical Societies,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/radhika-peddinti
Profile,"Madhur Tulsiani,Assistant Professor, Director of Graduate Studies,Toyota Technological Institute,,Assistant Professor, Part-Time,Department of Computer Science,",No data,No data,No data,No data,https://www.cs.uchicago.edu/people/profile/madhur-tulsiani/
"The University of Chicago Harris School of Public Policy,Anjali Adukia,","Utility,Utility,Recent News,Upcoming Events,You might also be interested in...,,Forward Thinking Impact: Harris Students Making a Difference in South Asia,,,,Professor James Robinson's Book ""The Narrow Corridor"" Recommended as one of the ""Best Politics Books of 2020"",,,,Commentary: Many Students in Developing Countries Cannot Access Education Remotely,,,,Juan Carlos Monterrey-Gómez, MAIDP’19 and Obama Foundation Scholar, Tackles Global Climate Challenge,,,Footer menu,Connect with Us,Questions?","Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,About,Anjali Adukia,,Research,Contact Information,Harris School of Public Policy Partners with Leading Policy Schools to Diversify and Support PhD Applicants,,Alumni Profile: Brandon Williams, DPSS’20,,,Women In Policy Panel,,,Data and Policy Summer Scholar Virtual Drop In,","Other Writings: Policy Briefs, Op-Eds, Blog Posts,Honors, Awards,News, Links,Follow,Anjali Adukia,",No data,No data,http://harris.uchicago.edu/directory/anjali-adukia
404: Page not found,404,404,404,404,404,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fanisha-dua&user=extranet%5cAnonymous&site=website
Our Apologies,"The page you requested could not be found.,Patient Care,Patient & Visitor Information,Explore UChicago Medicine,Health & Science Articles","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",No data,No data,https://www.uchicagomedicine.org/404?item=%2ffind-a-physician%2fphysician%2fanisha-dua&user=extranet%5cAnonymous&site=website
No data,No data,No data,No data,No data,No data,https://www.cs.uchicago.edu/news/article/ravi-chugh-joins-cs-faculty/
"Sandeep Gurbuxani, MD, PhD","Associate Professor of Pathology,","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,Areas of Expertise,,Education,,Medical Education,Residency,Fellowship,,Memberships & Medical Societies,,Memberships & Medical Societies,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/sandeep-gurbuxani
Varun Gupta,"Biography,Academic Areas,2020 - 2021 Course Schedule,,Get the Latest Insights from Varun Gupta in Chicago Booth Review,,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/g/varun-gupta
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=5890
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=5890
Anita Rao,"Biography,Research Interests,Academic Areas,2020 - 2021 Course Schedule,,Get the Latest Insights from Anita Rao in Chicago Booth Review,,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/r/anita-rao
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=6687
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=6687
404: Page not found,404,404,404,404,404,https://pathology.uchicago.edu/directory/sandeep-gurbuxani-mbbs-phd
Oops!,No data,No data,No data,No data,No data,https://pathology.uchicago.edu/directory/sandeep-gurbuxani-mbbs-phd
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=11230
